TICKER,PER,DATE,TIME,OPEN,HIGH,LOW,CLOSE,VOL,OPENINT
^_PLNC,D,2016-02-16,000000,958.1,962.97,958.1,962.97,18189507,0
^_PLNC,D,2017-01-02,000000,913.89,913.89,912.36,912.36,12998679,0
^_PLNC,D,2018-01-03,000000,776.69,780.24,776.42,779.94,18251826,0
^_PLNC,D,2019-01-02,000000,539.03,543.24,538.89,543.07,5858862,0
^_PLNC,D,2020-01-02,000000,556.26,560.37,555.59,560.37,5668351,0
^_PLNC,D,2021-01-04,000000,905.55,924.05,905.55,924.05,28268869,0
^_PLNC,D,2022-01-03,000000,876.31,902.5,876.31,902.5,11522568,0
^_PLNC,D,2023-01-02,000000,675.42,685.9,675.42,683.32,14307779,0
^_PLNC,D,2024-01-02,000000,603.31,609.26,603.28,609.21,8319717,0
^_PLNC,D,2025-01-02,000000,468.63,478.2,468.63,476.09,6086290,0
